Object ID,Type of Sample,Sample ID,Lab/Museum/FS # if diff than Sample ID,Modern/Arch,Site Name/Area,Site Number,Provenience,Description of Sample,Date,UTM,Easting,Northing,Longitude,Latitude,Elevation,Elevation of Home Range,Depth,Mid Depth,Date of Collection,Source/Citation,Notes ,Links to Other Projects/Repositories,Weight ,Ag (ug/g),Ba (ug/g),Ca (ug/g),Ce (ug/g),Cr (ug/g),Cs (ug/g),Cu (ug/g),La (ug/g),Li (ug/g),Mn (ug/g),Mo (ug/g),Nd (ug/g),Rb (ug/g),Sr (ug/g),Ti (ug/g),U (ug/g),V (ug/g),Y (ug/g),Zn (ug/g)
,Vegetal,099/28/pr/LL,,Modern,Los Lunas,,,Tohono O'odham Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1,0.012,2.416,420,0.261,0.364,0.009,1.725,0.003,0.139,7.589,0.095,0.002,2.027,4.606,1.45,0.002,0.093,0.092,14.519
,Vegetal,430/31/pr/LL,,Modern,Los Lunas,,,Tohono O'odham Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1001,0.068,3.034,611,0.499,0.369,0.036,1.906,0.004,0.225,9.919,0.271,0.004,2.187,5.977,0.785,0.004,0.127,0.161,10.048
,Vegetal,436/32/pr/LL,,Modern,Los Lunas,,,Tohono O'odham Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1001,0.026,2.653,210,0.385,0.435,0.046,1.314,0.006,0.133,5.305,0.125,0.005,1.458,2.299,2.286,0.004,0.13,0.182,22.065
,Vegetal,433/33/pr/LL,,Modern,Los Lunas,,,Tohono O'odham Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0999,0.018,1.891,332,0.16,0.481,0.045,3.999,0.005,0.149,7.079,0.124,0.006,0.994,3.317,0.904,0.003,0.121,0.096,17.186
,Vegetal,437/34/pr/LL,,Modern,Los Lunas,,,Tohono O'odham Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0999,0.014,4.016,722,0.044,0.597,0.035,2.114,0.003,0.284,9.276,0.224,0.001,3.085,7.394,0.628,0.001,0.162,0.032,9.462
,Vegetal,008/37/pr/LL,,Modern,Los Lunas,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1001,0.03,1.793,284,0.147,0.46,0.083,1.875,0.003,0.303,2.905,0.198,0.005,1.899,2.716,1.365,0.002,0.152,0.073,40.976
,Vegetal,445/38/pr/LL,,Modern,Los Lunas,,,Tohono O'odham Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0998,0.016,1.736,234,0.192,0.516,0.065,2.126,0.007,0.189,8.291,0.124,0.003,1.479,2.707,0.607,0.002,0.155,0.089,20.059
,Vegetal,006/39/pr/LL,,Modern,Los Lunas,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0998,0.011,1.622,205,0.095,0.491,0.046,1.261,0.008,0.068,4.827,0.14,0.006,1.461,1.98,1.164,0.001,0.136,0.037,39.853
,Vegetal,025/40/pr/LL,,Modern,Los Lunas,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1,0.018,0.931,102,0.338,0.451,0.012,1.191,0.007,0.262,2.841,0.122,0.005,2.876,1.325,1.934,0.002,0.159,0.145,28.822
,Vegetal,005/43/pr/LL,,Modern,Los Lunas,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1001,0.1,2.941,428,1.037,0.389,0.058,2.713,0.022,0.256,2.895,0.22,0.018,2.583,4.073,0.506,0.012,0.165,0.493,29.315
